Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Titolare AIC,AIC,Codice Gruppo Equivalenza,codiceSis,URL
Trientina,TRIENTINA 150MG 72 UNITA' USO ORALE,CUPRIOR*72 cpr riv 150 mg,ORPHALAN SA,045679014,KRT,4659,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/4659/farmaci/45679/stampati?ts=RCP
Trientina,TRIENTINA 200MG 100 UNITA' USO ORALE,CUFENCE*100 cps 200 mg,UNIVAR SOLUTION BV,048105011,MAY,5145,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/5145/farmaci/48105/stampati?ts=RCP
Trientina,TRIENTINA 200MG 100 UNITA' USO ORALE,TRIENTINA*100 cps 200 mg flacone,WAYMADE B.V.,050501016,MAY,5025,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/5025/farmaci/50501/stampati?ts=RCP
Triesifenidile,TRIESIFENIDILE 2MG 50 UNITA' USO ORALE,ARTANE*50 cpr 2 mg,TEOFARMA Srl,003488057,T1A,7046,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7046/farmaci/03488/stampati?ts=RCP
Trifluoperazina,TRIFLUOPERAZINA 1MG 30 UNITA' USO ORALE,MODALINA*30 cpr riv 1 mg,SIT LABORATORIO FARMAC. Srl,019184050,T2A,143,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/143/farmaci/19184/stampati?ts=RCP
Trifluoperazina,TRIFLUOPERAZINA 2MG 30 UNITA' USO ORALE,MODALINA*30 cpr riv 2 mg,SIT LABORATORIO FARMAC. Srl,019184062,T2B,143,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/143/farmaci/19184/stampati?ts=RCP
Trifluridina/Tipiracil,"TRIFLURIDINA+TIPIRACIL 15MG+6,14MG 20 UNITA' USO ORALE","LONSURF*20 cpr riv 15 mg + 6,14 mg",LES LABORATOIRES SERVIER,044856019,JJY,49,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/49/farmaci/44856/stampati?ts=RCP
Trifluridina/Tipiracil,"TRIFLURIDINA+TIPIRACIL 15MG+6,14MG 60 UNITA' USO ORALE","LONSURF*60 cpr riv 15 mg + 6,14 mg",LES LABORATOIRES SERVIER,044856033,JJZ,49,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/49/farmaci/44856/stampati?ts=RCP
Trifluridina/Tipiracil,"TRIFLURIDINA+TIPIRACIL 20MG+8,19MG 20 UNITA' USO ORALE","LONSURF*20 cpr riv 20 mg + 8,19 mg",LES LABORATOIRES SERVIER,044856045,JKB,49,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/49/farmaci/44856/stampati?ts=RCP
Trifluridina/Tipiracil,"TRIFLURIDINA+TIPIRACIL 20MG+8,19MG 60 UNITA' USO ORALE","LONSURF*60 cpr riv 20 mg + 8,19 mg",LES LABORATOIRES SERVIER,044856060,JKC,49,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/49/farmaci/44856/stampati?ts=RCP
Trimetoprim/sulfametoxazolo,TRIMETOPRIM+SULFAMETOXAZOLO 80+400MG 5 UNITA' USO PARENTERALE,BACTRIM PERFUSIONE*5 fiale EV 80 mg/5 ml + 400 mg/5 ml,EUMEDICA PHARMACEUTICALS GmbH,028313029,KRJ,5279,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/5279/farmaci/28313/stampati?ts=RCP
Trimetoprim/sulfametoxazolo,TRIMETOPRIM+SULFAMETOXAZOLO 160+800MG 16 UNITA' USO ORALE,BACTRIM*16 cpr 160 mg + 800 mg,EUMEDICA PHARMACEUTICALS GmbH,021978046,T3B,5279,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/5279/farmaci/21978/stampati?ts=RCP
Trimipramina,TRIMIPRAMINA 800MG 20ML USO ORALE,SURMONTIL*orale gtt 20 ml 40 mg/ml,NEURAXPHARM ITALY SpA,020118030,T4C,3665,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3665/farmaci/20118/stampati?ts=RCP
Triptorelina,"TRIPTORELINA 3,75MG 1 UNITA' USO PARENTERALE","DECAPEPTYL*1 flaconcino IM 3,75 mg + 1 fiala solv 2 ml + 1 siringa",IPSEN SpA,026999021,BYA,7047,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7047/farmaci/26999/stampati?ts=RCP
Triptorelina,"TRIPTORELINA 3,75MG 1 UNITA' USO PARENTERALE","GONAPEPTYL DEPOT*1 siringa IM SC 3,75 mg + 1 fiala solv 1 ml",FERRING SpA,035562014,BYA,7051,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7051/farmaci/35562/stampati?ts=RCP
Triptorelina,"TRIPTORELINA 11,25MG 1 UNITA' USO PARENTERALE","DECAPEPTYL*1 flaconcino IM 11,25 mg + 1 fiala solv 2 ml + 1 siringa",IPSEN SpA,026999058,BYB,7047,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7047/farmaci/26999/stampati?ts=RCP
Triptorelina,"TRIPTORELINA 22,5MG 1 UNITA' USO PARENTERALE","DECAPEPTYL*1 flaconcino 22,5 mg + 1 fiala solv 2 ml + 1 siringa + 2 aghi",IPSEN SpA,026999060,KOH,7047,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7047/farmaci/26999/stampati?ts=RCP
