Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Titolare AIC,AIC,Codice Gruppo Equivalenza
Trientina,TRIENTINA 150MG 72 UNITA' USO ORALE,CUPRIOR*72 cpr riv 150 mg,ORPHALAN SA,045679014,KRT
Trientina,TRIENTINA 200MG 100 UNITA' USO ORALE,CUFENCE*100 cps 200 mg,UNIVAR SOLUTION BV,048105011,MAY
Trientina,TRIENTINA 200MG 100 UNITA' USO ORALE,TRIENTINA*100 cps 200 mg flacone,WAYMADE B.V.,050501016,MAY
Triesifenidile,TRIESIFENIDILE 2MG 50 UNITA' USO ORALE,ARTANE*50 cpr 2 mg,TEOFARMA Srl,003488057,T1A
Trifluoperazina,TRIFLUOPERAZINA 1MG 30 UNITA' USO ORALE,MODALINA*30 cpr riv 1 mg,SIT LABORATORIO FARMAC. Srl,019184050,T2A
Trifluoperazina,TRIFLUOPERAZINA 2MG 30 UNITA' USO ORALE,MODALINA*30 cpr riv 2 mg,SIT LABORATORIO FARMAC. Srl,019184062,T2B
Trifluridina/Tipiracil,"TRIFLURIDINA+TIPIRACIL 15MG+6,14MG 20 UNITA' USO ORALE","LONSURF*20 cpr riv 15 mg + 6,14 mg",LES LABORATOIRES SERVIER,044856019,JJY
Trifluridina/Tipiracil,"TRIFLURIDINA+TIPIRACIL 15MG+6,14MG 60 UNITA' USO ORALE","LONSURF*60 cpr riv 15 mg + 6,14 mg",LES LABORATOIRES SERVIER,044856033,JJZ
Trifluridina/Tipiracil,"TRIFLURIDINA+TIPIRACIL 20MG+8,19MG 20 UNITA' USO ORALE","LONSURF*20 cpr riv 20 mg + 8,19 mg",LES LABORATOIRES SERVIER,044856045,JKB
Trifluridina/Tipiracil,"TRIFLURIDINA+TIPIRACIL 20MG+8,19MG 60 UNITA' USO ORALE","LONSURF*60 cpr riv 20 mg + 8,19 mg",LES LABORATOIRES SERVIER,044856060,JKC
Trimetoprim/sulfametoxazolo,TRIMETOPRIM+SULFAMETOXAZOLO 80+400MG 5 UNITA' USO PARENTERALE,BACTRIM PERFUSIONE*5 fiale EV 80 mg/5 ml + 400 mg/5 ml,EUMEDICA PHARMACEUTICALS GmbH,028313029,KRJ
Trimetoprim/sulfametoxazolo,TRIMETOPRIM+SULFAMETOXAZOLO 160+800MG 16 UNITA' USO ORALE,BACTRIM*16 cpr 160 mg + 800 mg,EUMEDICA PHARMACEUTICALS GmbH,021978046,T3B
Trimipramina,TRIMIPRAMINA 800MG 20ML USO ORALE,SURMONTIL*orale gtt 20 ml 40 mg/ml,NEURAXPHARM ITALY SpA,020118030,T4C
Triptorelina,"TRIPTORELINA 3,75MG 1 UNITA' USO PARENTERALE","DECAPEPTYL*1 flaconcino IM 3,75 mg + 1 fiala solv 2 ml + 1 siringa",IPSEN SpA,026999021,BYA
Triptorelina,"TRIPTORELINA 3,75MG 1 UNITA' USO PARENTERALE","GONAPEPTYL DEPOT*1 siringa IM SC 3,75 mg + 1 fiala solv 1 ml",FERRING SpA,035562014,BYA
Triptorelina,"TRIPTORELINA 11,25MG 1 UNITA' USO PARENTERALE","DECAPEPTYL*1 flaconcino IM 11,25 mg + 1 fiala solv 2 ml + 1 siringa",IPSEN SpA,026999058,BYB
Triptorelina,"TRIPTORELINA 22,5MG 1 UNITA' USO PARENTERALE","DECAPEPTYL*1 flaconcino 22,5 mg + 1 fiala solv 2 ml + 1 siringa + 2 aghi",IPSEN SpA,026999060,KOH
Turoctocog Alfa,TUROCTOCOG ALFA 250UI 4ML 1 UNITA' USO PARENTERALE,NOVOEIGHT*1 flaconcino EV 250 Unita' Internazionali + 1 siringa solv 4 ml,NOVO NORDISK A/S,043153016,JAR
Turoctocog Alfa,TUROCTOCOG ALFA 500UI 4ML 1 UNITA' USO PARENTERALE,NOVOEIGHT*1 flaconcino EV 500 Unita' Internazionali + 1 siringa solv 4 ml,NOVO NORDISK A/S,043153028,JAS
Turoctocog Alfa,TUROCTOCOG ALFA 1.000UI 4ML 1 UNITA' USO PARENTERALE,NOVOEIGHT*1 flaconcino EV 1.000 Unita' Internazionali + 1 siringa solv 4 ml,NOVO NORDISK A/S,043153030,JAT
Turoctocog Alfa,TUROCTOCOG ALFA 1.500UI 4ML 1 UNITA' USO PARENTERALE,NOVOEIGHT*1 flaconcino EV 1.500 Unita' Internazionali + 1 siringa solv 4 ml,NOVO NORDISK A/S,043153042,JAU
Turoctocog Alfa,TUROCTOCOG ALFA 2.000UI 4ML 1 UNITA' USO PARENTERALE,NOVOEIGHT*1 flaconcino EV 2.000 Unita' Internazionali + 1 siringa solv 4 ml,NOVO NORDISK A/S,043153055,JAV
Turoctocog Alfa,TUROCTOCOG ALFA 3.000UI 4ML 1 UNITA' USO PARENTERALE,NOVOEIGHT*1 flaconcino EV 3.000 Unita' Internazionali + 1 siringa solv 4 ml,NOVO NORDISK A/S,043153067,JAW
